문제,해설,정답
"공공재와 관련한 설명으로 옳지 않은 것은?  
①국방,경찰,소방,유료 고속도로, OTT서비스 등은 공공재이다. ②경합성과 비배제성을 가진 비순수공공재의 대표적인 사례로 공동소유의 목초지가 있다. ③공공재는 사적재와 비교해서 시장에서 적정한 수준으로 공급되기가 어렵기에 정부가 개입하게 된다. ④어떤 재화가 비배제성과 비경합성을 가지면 시장 메커니즘을 통해 그 재화를 충분히 공급하기 어렵다. ⑤무임승차 문제는 소비의 비배제성 때문에 발생하며 정부가 그 재화를 공급해야 하는 이유 중 하나가 되기도 한다. ","공공재란 사회 대부분의 사람이 공동으로 사용하는 물건이나 시설을 말한다.대표적인 예로 도로,치안 등이 여기에 해당한다.이런 공공재는 단순히 정부나 공공단체가 공급하는 물건들로 규정되는 것이 아니라 배제성과 경합성을 가진 사적재와 달리 비배제성과 비경합성 두 가지 특성을 동시에 지닌 재화를 말한다. 공공재는 비배제성으로 무임승차 문제가 발생하며, 비배제성과 비경합성 두 가지 특성때문에 시장 메커니즘을 통한 충분한 공급이 어렵다. 공공재는 어떤 사람이 재화와 서비스에 대가를 치르지 않더라도 그 소비를 막을 수 없는 비배제성과 많은 사람이 동일한 재화와 서비스를 동시에 소비할 수 있고 한 개인의 소비가 다른 사람들의 소비를 감소시키지 않는 비경합성이 동시에 충족되는 것이다.",①
"기업이 차등의결권, 포이즌 필, 황금낙하산 제도를 활용하는 가장 큰 목적은 무엇인가?  
①분산투자②경영권 방어③물류망 확충 ④노동생산성 향상⑤인수·합병(M&A)촉진 ",차등의결권은 최대 주주나 경영진이 실제 보유한 지분보다 많은 의결권을 행사할 수 있도록 하는 것을 말한다.차등의결권은 창업주가 자신의 지분율을 희석하지 않고도 외부 자금을 끌어들일 수 있으며 기업이 외부 공격을 방어하고 창업자의 장기 비전에 따라 안정적인 성장을 이룰 수 있게 한다는 장점이 있다. 포이즌 필이란 적대적 인수·합병(M&A)이나 경영권 침해 시도 등 특정 사건이 발생했을 때 기존 주주들에게 회사 주식을 시세보다 훨씬 싼 값에 매입할 수 있는 콜옵션을 부여해 적대적M&A시도자의 지분 확보를 어렵게 해 경영권을 방어하는 것을 말한다.,②
"이것은‘재무적으로 독립해 일찍 은퇴한다.’는 의미다. 40대에 은퇴하기 위해 소비를 극단적으로 줄여 소득의70∼80%를 저축하는 2030세대를 지칭한다. 이들 2030세대는 글로벌 금융위기 등의 경제 위기를 겪으면서 저축 성향(소득 대비 저축 비율)이 어느 세대보다 높다. 이것은 무엇인가?  
①파이어족②딩크족③프리터족④오렌지족⑤니트족 ","파이어(FIRE)는‘경제적 자립,조기 은퇴(Financial Independence, Retire Early)의 첫 글자를 따서 만든 용어다.이들은 일반적인 은퇴 연령인50∼60대가 아닌30대 말이나 늦어도40대 초반까지는 조기 은퇴하겠다는 목표로,회사 생활을 하는20대부터 소비를 줄이고 수입의70∼80%이상을 저축하는 등 극단적 절약을 선택한다. 파이어족은2008년 글로벌 금융 위기 이후 미국 젊은 고학력·고소득 계층을 중심으로 확산했다.부모 세대인 베이비붐 세대가 금융 위기로 경제적 어려움을 겪는 모습을 보며 자라 온 밀레니얼 세대가 주축이다.",①
"정부가 무역수지 개선을 위해 환율 상승을 유도하면,초기엔 무역수지가 오히려 악화하다가 시간이 지나 개선되는 현상을‘이것’-커브 효과라고 한다. ‘이것’에 알맞은 알파벳은?  
①N ②S ③J ④V ⑤D ",한 국가가 무역수지 흑자를 더 늘리거나 적자를 개선하기 위해 환율 상승(자국 화폐가치 하락)을 유도할 수 있다. 이후 예상과 달리 국제수지 흑자가 오히려 줄어들다가 상당한 시간이 지나서야 늘기 시작하는 현상을J-커브 효과라고 한다. 환율 상승과 그에 따른 무역수지의 변화가 알파벳J자 모양과 비슷해서 붙여진 이름이다.,③
"최저가격제와 관련한 설명 중 옳지 않은 것은?  
①재화가 과잉 생산되어 초과공급이 발생한다. ②시장 균형거래량보다 실제 거래량이 줄어든다. ③시장균형가격보다 최저가격을 높게 설정해야 한다. ④생산요소시장에서는 수요자를 보호하기 위해 실시한다. ⑤농산물 가격 폭락에 대응한 농산물 가격안정법이 대표적인 사례다. ",최저가격제(가격하한제)는 시장균형가격보다 가격을 높게 설정하는 제도다.최저임금제와 농산물 가격 폭락에 대응하기 위한 가격안정법이 대표적인 사례다.노동시장에서 최저임금제는 생산요소시장의 공급자인 노동자를 보호하기 위한 정책이다.이를 시행하면 노동의 수요량은 감소하고 공급량은 증가해 노동의 초과공급과 실업이 발생한다.,④
,"국제 유가와 원자재의 상승이 경제에 미치는 영향을 이해하고 있는가를 묻는 문제다. 국제 유가와 원자재 가격 상승은 수입 물가를 상승시켜 교역조건을 악화시킨다. 교역조건(terms of trade)은 한 나라의 상품과 다른 나라 상품의 교환 비율이다.일반적으로 수출상품1단위와 교환으로 얻어지는 수입 상품 단위 수를 말한다. 교역조건이 악화하면 동일한 수출량으로 더 적은 물량을 수입할 수 있으므로 국민의 구매력이 낮아진다. 또한,교역조건의 변화를 반영한 소득지표인 실질 국민총소득(GNI)이 실질 국내총생산(GDP)보다 낮아질 가능성이 높다.",①
㉠과㉡을 설명하는 영어 단어를 알맞게 짝지으면?   ,보통 신문 기사나 뉴스에서 언급하는R의 공포는‘Recession(경기침체)’을 의미한다.통상 시장이‘기술적 경기침체’로 간주하는 상황은GDP증감률이 두 분기 연속 마이너스 성장할 때이다.,①
"전염병에 걸린 사람은 주변 사람에게 병을 옮길 수 있는 부정적인 영향을 미치지만,일반적으로 주변 사람들에게 그에 대한 대가를 지불하지 않는다.이와 같은 사례와 경제학적 의미가 가까운 사례를 고르면?  ①스마트폰의 등장으로 관련 산업이 급성장하였다. ②민간 기업이 야외 공원에서 불꽃놀이를 개최한다. ③한여름 해수욕장의 파라솔 가격은 평소보다 비싸다. ④국제 유가가 하락해도 국내 휘발유 가격은 상승한다. ⑤강 상류의 공장이 몰래 배출한 오염물질이 강 하류를 오염시킨다. ","외부효과란 한 사람의 행위가 제3자의 경제적 후생에 영향을 미치지만,그에 대한 보상은 이뤄지지 않는 현상을 뜻한다.외부효과는 제3자의 경제적 후생을 낮추는 부정적 외부효과(외부불경제)와 제3자의 경제적 후생을 높이는 긍정적 외부효과(외부경제)가 있다.",⑤
아래 나열한 중앙은행의 기준금리 인상 폭의 숫자를 더하면 얼마인가?    ①1.25②1.5③1.75④2.0⑤2.25 ,"어학적으로는‘큰 발전’혹은‘큰 도약’을 뜻하는 말이나 경제 분야에서는 기준금리를 한 번에0.5%포인트 올리는 것을 의미한다.통상적으로 금리 인상 폭은0.25%포인트 정도이나 인플레이션 등의 이유로 큰 폭의 인상을 단행하기도 한다.한때 미국 중앙은행(Fed)이 물가 상승을 이유로 기준금리를 인상할 때,빅스텝이라는 단어가 자주 나타났다.",①
아래 나열한 내용을 설명할 수 있는 알맞은 용어는?    ①누진세②인두세③비례세④증권거래세⑤부가가치세 ,"소득,재산 등 소득금액이 커질수록 세율이 증가하는 과세 제도를‘누진세’라고 한다.누진세는 소득이 높을수록 더 많은 세금을 납부하도록 함으로써 소득 재분배를 목적으로 한다.우리나라의 소득세,재산세,법인세,상속세,증여세 등이 누진세에 해당한다.정답①",
